Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4Nzk2ODk4MDYwOTExODY6MTcyMDIxMTUxMTpzcF9tdGY6MzAwMTgyNTczMzQ5NjMyOjowOjo&url=%2FSafari-Laptop-Backpack-Raincover-college%2Fdp%2FB097JH4V5G%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1720211511%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women","₹1,114",4.0 out of 5 stars,754
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4Nzk2ODk4MDYwOTExODY6MTcyMDIxMTUxMTpzcF9tdGY6MzAwMDA2NzU0Nzg1MzMyOjowOjo&url=%2FWALKENT-Waterproof-Polyester-Material-Hazel%2Fdp%2FB0C7KP5BT4%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1720211511%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT Stylish 15.6"" Laptop Bag, Rain Cover, Special Waterproof Silk Polyester Material, Cushioned Laptop Pocket for Office, College, Men & Women - Model Hazel D1","₹2,190",4.0 out of 5 stars,13
https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_13?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4&dib_tag=se&keywords=bags&qid=1720211511&sprefix=ba%2Caps%2C283&sr=8-13,Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,₹739,3.9 out of 5 stars,598
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795/ref=sr_1_14?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4&dib_tag=se&keywords=bags&qid=1720211511&sprefix=ba%2Caps%2C283&sr=8-14,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,₹599,3.8 out of 5 stars,498
https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_15?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4&dib_tag=se&keywords=bags&qid=1720211511&sprefix=ba%2Caps%2C283&sr=8-15,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women","₹1,114",4.0 out of 5 stars,754
https://www.amazon.in/Impulse-Diggy-30L-Backpack-Resistant/dp/B0CQDB5CBZ/ref=sr_1_16?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4&dib_tag=se&keywords=bags&qid=1720211511&sprefix=ba%2Caps%2C283&sr=8-16,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,₹369,3.4 out of 5 stars,399
https://www.amazon.in/gp/bestsellers/kitchen/ref=sr_bs_16_kitchen_1,"Amazon Brand - Presto! Garbage Bags Medium 180 Count|19 x 21 inches Black , For Dry & Wet waste|30 bags/roll (Pack of 6)",₹368.50,4.4 out of 5 stars,45865
https://www.amazon.in/Backpacks-backpacks-Resistant-Lightweight-collection/dp/B07SRGQ2R4/ref=sr_1_18?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4&dib_tag=se&keywords=bags&qid=1720211511&sprefix=ba%2Caps%2C283&sr=8-18,"Genie Miami Backpacks for Women, 14 inch, Tuition bag, Stylish and Trendy Casual College backpacks for girls, Water Resistant and Lightweight Bag for Office and Travelling",₹359,4.2 out of 5 stars,2709
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_19?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4&dib_tag=se&keywords=bags&qid=1720211511&sprefix=ba%2Caps%2C283&sr=8-19,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹849,4.3 out of 5 stars,9879
https://www.amazon.in/Skybags-Unisex-Blith-Jacquard-Backpacks/dp/B0B21Z3DBD/ref=sr_1_20?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.-mIsZ5z6HKcRMaztEBGBuIuOVq8S_ARxYVevRtX_wK8xL0-1cuIGGxlLBwdlNaJQQ33gW1IIgg1U6VQcgETEzKtAnj5Ps6HNMfCTAuaxRJh1OFWRMx6GImhXDPenISXjjVTn_ers0BplcsE8Vj7PuN0_NOqm4CEdC5g4kbfGByL8714ZhosyYmMz7-DJyIH5a9g8B2kqxGashJ3K4uZTUGI5UYUWAxknIiKHRrfLYV8.yrBIMtT8RPOcOdhG8Gs7AYIw9v0G7trKW8jGKl6yEV4&dib_tag=se&keywords=bags&qid=1720211511&sprefix=ba%2Caps%2C283&sr=8-20,Skybags Flex 22L Backpack Blith,₹632,4.1 out of 5 stars,663
